osteo_type,lesion_type,length,height,LxH,area,perimeter,percentage_LxH,percentage_area,type1_l,type1_h,l_d_h,,
mov,1,0.954,1.293,1.233522,1.383,4.662,4.490249471,5.315346478,0.954,1.293,0.737819026,,
mov,1,1.191,0.883,1.051653,0.805,3.273,3.232040582,2.566064199,1.191,0.883,1.348810872,,
mov,1,2.398,1.413,3.388374,2.501,6.427,8.994680398,7.252638905,2.398,1.413,1.697098372,,
mov,1,3.623,2.003,7.256869,5.778,10.21,19.46562841,19.55727051,3.623,2.003,1.80878682,,
smp,1,1.239,1.46,1.80894,1.756,5.307,5.784288756,6.438602281,1.239,1.46,0.848630137,,
mov,1,1.931,1.288,2.487128,1.791,6.379,8.669537448,6.482319302,1.931,1.288,1.499223602,,
mov,1,1.484,1.364,2.024176,0.923,3.926,6.002874486,3.00984804,1.484,1.364,1.08797654,,
mov,1,1.009,0.784,0.791056,0.681,3.145,5.16375652,6.014838368,1.009,0.784,1.286989796,,
mov,1,3.666,2.807,10.290462,8.205,11.299,35.68271811,29.55265812,3.666,2.807,1.306020663,,
mov,1,1.42,0.742,1.05364,0.841,3.919,4.714264493,4.4738802,1.42,0.742,1.913746631,,
smp,1,0.746,0.398,0.296908,0.239,1.912,1.481219846,1.287299364,0.746,0.398,1.874371859,,
esc,1,0.725,0.549,0.398025,0.506,3.042,2.870422829,4.599581856,0.725,0.549,1.320582878,,
esc,1,1.317,1.214,1.598838,1.249,4.292,14.16132921,13.52902946,1.317,1.214,1.084843493,,
esc,1,1.278,0.956,1.221768,1.139,4.824,8.35524437,9.619120007,1.278,0.956,1.336820084,,
esc,1,0.858,1.249,1.071642,0.971,3.659,9.238368763,11.26188819,0.858,1.249,0.68694956,,
esc,1,1.111,0.72,0.79992,0.57,3.079,10.17236119,8.824895495,1.111,0.72,1.543055556,,
esc,1,0.286,0.408,0.116688,0.084,1.148,1.483888993,1.300510915,0.286,0.408,0.700980392,,
esc,1,0.792,1.019,0.807048,0.38,2.476,7.514588328,5.308003911,0.792,1.019,0.777232581,,
esc,1,0.332,0.531,0.176292,0.135,1.407,1.641490724,1.885738232,0.332,0.531,0.625235405,,
esc,1,0.307,0.235,0.072145,0.088,1.07,1.269828698,1.815930664,0.307,0.235,1.306382979,,
pel,1,1.395,0.754,1.05183,1.016,4.444,5.264369886,6.491183235,1.395,0.754,1.850132626,,
pel,1,2.449,1.869,4.577181,3.866,7.364,19.91154612,19.46920481,2.449,1.869,1.310326378,,
pel,1,0.296,0.349,0.103304,0.078,0.995,0.449390653,0.392808581,0.296,0.349,0.848137536,,
